 
G06, C/N0=35.5, peak=1.3, codei= 3136, freq= -6800.0

**** G16 sdr thread 16 start! ****

G02, C/N0=35.8, peak=1.1, codei= 3578, freq=     0.0

**** G17 sdr thread 17 start! ****

G07, C/N0=35.9, peak=1.1, codei= 1855, freq=     0.0

**** G18 sdr thread 18 start! ****

G08, C/N0=35.6, peak=1.1, codei= 1685, freq=     0.0

**** G19 sdr thread 19 start! ****

G03, C/N0=34.9, peak=1.0, codei=  233, freq=     0.0

G09, C/N0=35.2, peak=1.0, codei= 1955, freq=     0.0

G04, C/N0=35.6, peak=1.1, codei= 1017, freq=     0.0

**** G20 sdr thread 20 start! ****

G10, C/N0=34.8, peak=1.1, codei=   19, freq=     0.0

G01, C/N0=35.5, peak=1.2, codei= 2958, freq=     0.0

G11, C/N0=35.5, peak=1.5, codei= 3578, freq= -2000.0

G12, C/N0=35.2, peak=1.0, codei= 1489, freq=     0.0

**** G21 sdr thread 21 start! ****

G05, C/N0=35.4, peak=1.3, codei= 2935, freq=  7000.0

G13, C/N0=35.4, peak=1.0, codei= 3658, freq=     0.0

G14, C/N0=36.0, peak=1.0, codei= 1882, freq=     0.0

G15, C/N0=34.9, peak=1.0, codei= 2345, freq=     0.0

G16, C/N0=35.4, peak=1.2, codei= 1622, freq= -2000.0

**** G22 sdr thread 22 start! ****

G17, C/N0=34.9, peak=1.3, codei= 1218, freq=  5200.0

**** G23 sdr thread 23 start! ****

G18, C/N0=35.2, peak=1.0, codei=  706, freq=     0.0

**** G24 sdr thread 24 start! ****

G06, C/N0=36.0, peak=1.2, codei= 2541, freq=     0.0

**** G25 sdr thread 25 start! ****

G19, C/N0=35.4, peak=1.3, codei= 2120, freq= -1200.0

G02, C/N0=35.6, peak=1.1, codei= 2714, freq=     0.0

**** G26 sdr thread 26 start! ****

G20, C/N0=35.3, peak=1.0, codei=  472, freq=     0.0

G07, C/N0=35.6, peak=1.2, codei= 3847, freq=     0.0

**** G27 sdr thread 27 start! ****

**** G28 sdr thread 28 start! ****

G21, C/N0=35.2, peak=1.0, codei=  894, freq=     0.0

G08, C/N0=35.2, peak=1.3, codei=  389, freq= -6600.0

**** G29 sdr thread 29 start! ****

**** G30 sdr thread 30 start! ****

G22, C/N0=34.8, peak=1.2, codei= 1375, freq= -2800.0

**** G31 sdr thread 31 start! ****

G03, C/N0=35.2, peak=1.3, codei= 3416, freq= -2600.0

G09, C/N0=34.8, peak=1.2, codei=  362, freq=  -600.0

**** G32 sdr thread 32 start! ****

G04, C/N0=35.6, peak=1.2, codei= 1819, freq=     0.0

G23, C/N0=35.3, peak=1.0, codei=  399, freq=     0.0

G10, C/N0=36.5, peak=1.2, codei= 1901, freq=     0.0

G01, C/N0=35.9, peak=1.1, codei= 3826, freq=     0.0

G11, C/N0=34.9, peak=1.0, codei= 1146, freq=     0.0

G12, C/N0=34.9, peak=1.0, codei= 2542, freq=     0.0

G05, C/N0=35.2, peak=1.3, codei= 3775, freq= -1200.0

G13, C/N0=35.0, peak=1.0, codei= 1023, freq=     0.0

G24, C/N0=36.6, peak=1.3, codei=  978, freq=     0.0

G14, C/N0=35.1, peak=1.0, codei= 2027, freq=     0.0

G15, C/N0=35.6, peak=1.2, codei= 1619, freq=     0.0

